timestamp,signalId,gameId,signal
2025-11-06T23:30:06.016Z,signal:1762471874396:98nqmso8e,0194b473-2ab3-778f-89ee-236e803f3c8e,2
2025-11-06T23:30:06.016Z,signal:1762471834549:9dm3h6h1j,0194b473-2ab3-778f-89ee-236e803f3c8e,2
2025-11-06T23:30:06.016Z,signal:1762471792532:2p1aoj71t,0194b473-2ab3-778f-89ee-236e803f3c8e,26
2025-11-06T23:30:06.016Z,signal:1762471750470:uk67mxr20,0194b473-2ab3-778f-89ee-236e803f3c8e,14
2025-11-06T23:30:06.016Z,signal:1762471709408:ekp84eovz,0194b473-2ab3-778f-89ee-236e803f3c8e,21
2025-11-06T23:30:06.016Z,signal:1762471668392:b8u5r4gvq,0194b473-2ab3-778f-89ee-236e803f3c8e,18
2025-11-06T23:30:06.016Z,signal:1762471627424:sfr1oksdq,0194b473-2ab3-778f-89ee-236e803f3c8e,31
2025-11-06T23:30:06.016Z,signal:1762471588465:n3sagqztx,0194b473-2ab3-778f-89ee-236e803f3c8e,13
2025-11-06T23:30:06.016Z,signal:1762471548250:iwihlbiej,0194b473-2ab3-778f-89ee-236e803f3c8e,23
2025-11-06T23:30:06.016Z,signal:1762471508396:c57irt4z3,0194b473-2ab3-778f-89ee-236e803f3c8e,19
2025-11-06T23:30:35.876Z,signal:1762471918235:vefd6q34b,0194b473-2ab3-778f-89ee-236e803f3c8e,22
2025-11-06T23:31:15.913Z,signal:1762471960415:5qb9fy6us,0194b473-2ab3-778f-89ee-236e803f3c8e,0
2025-11-06T23:32:00.672Z,signal:1762472002387:053xiqpkm,0194b473-2ab3-778f-89ee-236e803f3c8e,20
2025-11-06T23:32:40.723Z,signal:1762472044434:nooufwnke,0194b473-2ab3-778f-89ee-236e803f3c8e,13
2025-11-06T23:33:21.088Z,signal:1762472085416:t1r7d1w4t,0194b473-2ab3-778f-89ee-236e803f3c8e,21
2025-11-06T23:34:00.819Z,signal:1762472127419:2hwwup60m,0194b473-2ab3-778f-89ee-236e803f3c8e,26
2025-11-06T23:34:45.909Z,signal:1762472168413:2tuqzpycf,0194b473-2ab3-778f-89ee-236e803f3c8e,26
2025-11-06T23:35:25.980Z,signal:1762472208419:ymsba5oev,0194b473-2ab3-778f-89ee-236e803f3c8e,32
2025-11-06T23:36:06.043Z,signal:1762472252405:kbbn5e1as,0194b473-2ab3-778f-89ee-236e803f3c8e,14
2025-11-06T23:36:46.091Z,signal:1762472290393:d2ot6f09l,0194b473-2ab3-778f-89ee-236e803f3c8e,34
2025-11-06T23:37:31.161Z,signal:1762472333507:fmh0w2uls,0194b473-2ab3-778f-89ee-236e803f3c8e,36
2025-11-06T23:38:11.212Z,signal:1762472375455:cwgh4x1x1,0194b473-2ab3-778f-89ee-236e803f3c8e,28
2025-11-06T23:39:16.320Z,signal:1762472438402:30awrxalq,0194b473-2ab3-778f-89ee-236e803f3c8e,28
2025-11-06T23:39:51.400Z,signal:1762472475547:6lsdunxc0,0194b473-2ab3-778f-89ee-236e803f3c8e,17
2025-11-06T23:40:31.476Z,signal:1762472513407:63s8axmfu,0194b473-2ab3-778f-89ee-236e803f3c8e,32
2025-11-06T23:42:06.642Z,signal:1762472612405:hb8gzol2l,0194b473-2ab3-778f-89ee-236e803f3c8e,5
2025-11-06T23:42:46.693Z,signal:1762472650392:1xcpw48kq,0194b473-2ab3-778f-89ee-236e803f3c8e,23
2025-11-06T23:43:26.748Z,signal:1762472688399:rjodko826,0194b473-2ab3-778f-89ee-236e803f3c8e,1
2025-11-06T23:44:01.818Z,signal:1762472726528:6cbrae921,0194b473-2ab3-778f-89ee-236e803f3c8e,12
2025-11-06T23:44:41.838Z,signal:1762472764422:ou95zc0rj,0194b473-2ab3-778f-89ee-236e803f3c8e,36
2025-11-06T23:45:16.908Z,signal:1762472803476:tkgormeus,0194b473-2ab3-778f-89ee-236e803f3c8e,7
